City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,pangnirtung,CA,2022-02-05 02:25:46,66.1451,-65.7125,-18.4,69,40,3.44
1,port blair,IN,2022-02-05 02:25:47,11.6667,92.75,82.44,78,40,9.22
2,jamestown,US,2022-02-05 02:24:46,42.097,-79.2353,18.72,66,100,1.99
3,airai,TL,2022-02-05 02:22:45,-8.9266,125.4092,71.62,69,100,2.1
4,leningradskiy,RU,2022-02-05 02:23:24,69.3833,178.4167,-16.17,93,62,8.12
5,ahuimanu,US,2022-02-05 02:25:47,21.4447,-157.8378,78.85,64,20,3.0
6,ixtapa,MX,2022-02-05 02:25:48,20.7,-105.2,72.63,73,75,5.75
7,islamkot,PK,2022-02-05 02:25:48,24.6997,70.177,59.56,83,0,6.98
8,kirakira,SB,2022-02-05 02:25:49,-10.4544,161.9205,84.25,75,100,6.15
9,saskylakh,RU,2022-02-05 02:25:49,71.9167,114.0833,-9.0,99,99,5.28
10,castro,BR,2022-02-05 02:25:50,-24.7911,-50.0119,64.72,98,64,3.78
11,arman,RU,2022-02-05 02:25:50,59.7,150.1667,4.44,71,66,12.75
12,waingapu,ID,2022-02-05 02:22:17,-9.6567,120.2641,85.86,67,35,13.89
13,albany,US,2022-02-05 02:24:40,42.6001,-73.9662,17.91,84,100,3.36
14,ijui,BR,2022-02-05 02:25:51,-28.3878,-53.9147,77.02,83,1,3.09
15,rikitea,PF,2022-02-05 02:25:50,-23.1203,-134.9692,79.05,68,4,7.18
16,mar del plata,AR,2022-02-05 02:25:51,-38.0023,-57.5575,69.1,83,100,1.99
17,hithadhoo,MV,2022-02-05 02:25:51,-0.6,73.0833,81.66,73,99,11.43
18,bambous virieux,MU,2022-02-05 02:25:52,-20.3428,57.7575,80.22,89,75,17.27
19,avarua,CK,2022-02-05 02:25:52,-21.2078,-159.775,82.45,74,20,14.97
20,mareeba,AU,2022-02-05 02:25:52,-17.0,145.4333,80.44,85,100,2.55
21,vaini,TO,2022-02-05 02:25:53,-21.2,-175.2,77.16,94,75,13.8
22,kirov,RU,2022-02-05 02:25:53,58.5966,49.6601,15.84,90,100,10.56
23,chokurdakh,RU,2022-02-05 02:24:15,70.6333,147.9167,-30.32,100,14,1.57
24,atuona,PF,2022-02-05 02:25:54,-9.8,-139.0333,78.37,77,25,15.9
25,deputatskiy,RU,2022-02-05 02:22:27,69.3,139.9,-27.35,99,69,2.53
26,carnarvon,AU,2022-02-05 02:25:54,-24.8667,113.6333,104.07,16,11,12.66
27,hermanus,ZA,2022-02-05 02:24:05,-34.4187,19.2345,63.81,70,1,18.03
28,san cristobal,VE,2022-02-05 02:25:55,7.7669,-72.225,71.78,90,57,1.86
29,vostok,RU,2022-02-05 02:25:55,46.4856,135.8833,-1.64,86,100,4.47
30,arraial do cabo,BR,2022-02-05 02:25:55,-22.9661,-42.0278,75.97,86,100,21.81
31,bredasdorp,ZA,2022-02-05 02:25:56,-34.5322,20.0403,63.28,68,61,12.68
32,menongue,AO,2022-02-05 02:25:56,-14.6585,17.691,62.17,97,100,6.29
33,dingle,PH,2022-02-05 02:25:57,10.9995,122.6711,79.32,77,87,16.82
34,santa marta,CO,2022-02-05 02:25:57,11.2408,-74.199,82.89,66,4,20.0
35,baisha,CN,2022-02-05 02:25:58,26.5222,110.9311,43.61,75,22,1.48
36,cayenne,GF,2022-02-05 02:24:14,4.9333,-52.3333,79.09,88,75,5.99
37,gagino,RU,2022-02-05 02:21:09,55.2314,45.0339,19.54,95,100,12.8
38,sao joao da barra,BR,2022-02-05 02:25:58,-21.6403,-41.0511,76.23,85,98,21.61
39,tecolutla,MX,2022-02-05 02:25:59,20.4833,-97.0167,53.46,79,100,12.68
40,port elizabeth,ZA,2022-02-05 02:25:59,-33.918,25.5701,67.1,82,75,2.3
41,souillac,MU,2022-02-05 02:25:59,-20.5167,57.5167,80.37,89,75,17.27
42,tiksi,RU,2022-02-05 02:26:00,71.6872,128.8694,-22.13,98,72,7.34
43,kunigal,IN,2022-02-05 02:26:00,13.0222,77.0267,63.91,75,77,5.03
44,bluff,NZ,2022-02-05 02:26:00,-46.6,168.3333,59.81,56,60,5.53
45,pahalgam,IN,2022-02-05 02:26:01,34.0333,75.3333,9.07,65,0,14.45
46,maua,BR,2022-02-05 02:27:01,-23.6678,-46.4614,70.36,92,93,4.65
47,kapiri mposhi,ZM,2022-02-05 02:27:02,-13.9652,28.6809,61.77,98,100,3.76
48,kavieng,PG,2022-02-05 02:27:02,-2.5744,150.7967,83.88,69,100,5.82
49,georgetown,MY,2022-02-05 02:22:16,5.4112,100.3354,84.13,80,20,4.61
50,mataura,NZ,2022-02-05 02:27:02,-46.1927,168.8643,59.49,37,10,3.56
51,east london,ZA,2022-02-05 02:27:03,-33.0153,27.9116,68.38,89,100,7.65
52,basudebpur,IN,2022-02-05 02:27:03,21.1353,86.7386,64.62,62,0,5.1
53,astaneh-ye ashrafiyeh,IR,2022-02-05 02:27:04,37.2596,49.9444,48.13,90,16,3.83
54,leh,IN,2022-02-05 02:27:04,34.1667,77.5833,-8.27,88,100,4.18
55,port lincoln,AU,2022-02-05 02:27:04,-34.7333,135.8667,71.98,63,6,11.23
56,punta arenas,CL,2022-02-05 02:27:05,-53.15,-70.9167,46.51,71,0,3.44
57,algeciras,ES,2022-02-05 02:27:05,36.1333,-5.4505,58.68,67,100,12.66
58,lannion,FR,2022-02-05 02:27:06,48.75,-3.4167,43.14,88,75,6.91
59,kiruna,SE,2022-02-05 02:27:06,67.8557,20.2251,5.92,85,100,5.75
60,ushuaia,AR,2022-02-05 02:27:07,-54.8,-68.3,47.86,71,0,6.91
61,pacific grove,US,2022-02-05 02:27:07,36.6177,-121.9166,59.4,61,0,1.99
62,busselton,AU,2022-02-05 02:27:08,-33.65,115.3333,97.05,30,14,6.62
63,port alfred,ZA,2022-02-05 02:27:08,-33.5906,26.891,68.86,81,94,8.63
64,buchanan,LR,2022-02-05 02:27:08,5.8808,-10.0467,78.57,85,25,4.79
65,xichang,CN,2022-02-05 02:27:09,27.8964,102.2634,46.9,68,4,1.36
66,namatanai,PG,2022-02-05 02:27:09,-3.6667,152.4333,85.5,66,80,9.04
67,paamiut,GL,2022-02-05 02:23:58,61.994,-49.6678,6.37,90,100,7.49
68,beira,MZ,2022-02-05 02:27:10,-19.8436,34.8389,74.71,87,94,3.36
69,kuandian,CN,2022-02-05 02:27:10,40.7286,124.7847,10.74,53,2,6.13
70,christchurch,NZ,2022-02-05 02:27:11,-43.5333,172.6333,57.94,83,100,1.99
71,hambantota,LK,2022-02-05 02:27:11,6.1241,81.1185,75.54,100,83,2.3
72,mehamn,NO,2022-02-05 02:27:11,71.0357,27.8492,19.65,84,100,30.4
73,kapaa,US,2022-02-05 02:24:01,22.0752,-159.319,78.78,80,40,8.05
74,camacha,PT,2022-02-05 02:27:12,33.0833,-16.3333,60.53,94,20,4.61
75,piet retief,ZA,2022-02-05 02:27:12,-27.0071,30.8132,59.68,98,100,3.96
